,u-g,g-r,r-i,i-z,ecc,m4_u,m4_g,m4_r,m4_i,m4_z,petroR50_u,petroR50_r,petroR50_z,petroR90_u,petroR90_r,petroR90_z,class
0,1.4529299999999985,0.6336800000000018,0.4020800000000015,0.2657299999999978,0.3909295,2.110849,2.15626,2.143514,2.23404,2.247642,1.666188,1.683902,1.375343,3.026231,3.700802,3.074833,merger
1,1.569720000000002,0.63443,0.347529999999999,0.1519700000000003,0.9153405,2.352859,2.43382,2.471458,2.509777,2.51717,9.588296,8.813774,7.456224,21.64546,22.48861,20.1885,spiral
2,1.4647500000000022,0.5540499999999984,0.3616500000000009,0.1978100000000004,0.5403817,1.827454,2.003867,2.121698,2.175802,2.234748,4.358751,4.622508,4.221008,8.496148,9.563267,9.114655,spiral
3,1.950800000000001,0.8894899999999986,0.4056100000000011,0.3200199999999995,0.8957706,2.444309,2.463624,2.439433,2.424131,2.404567,7.495163,5.190655,4.992559,21.04732,15.8792,14.78244,elliptical
4,2.0392399999999995,1.0321399999999985,0.4292600000000011,0.3503500000000006,0.9067104,2.338428,2.368874,2.358188,2.397348,2.364135,2.464064,2.392333,2.247,8.777987,7.884397,7.387922,elliptical
5,1.212489999999999,0.5394900000000007,0.3011499999999998,0.1980000000000004,0.8499998,2.100381,2.075309,2.196082,2.246083,2.284091,4.943053,4.748805,4.419744,8.381482,9.26237,8.60141,spiral
6,1.8958700000000024,1.0083899999999986,0.4425300000000014,0.3416899999999998,0.5999927,0.5816889,2.346116,2.397904,2.439518,2.487684,3.605732,2.696167,2.436285,9.204205,6.226351,5.371861,merger
7,1.0485099999999967,0.4547200000000018,0.2788599999999981,0.1765300000000014,0.8700823,2.117448,2.154735,2.216294,2.210281,2.194319,2.412288,2.629987,2.5743,6.934568,6.707078,6.64215,merger
8,1.4721599999999988,0.6699699999999993,0.4162800000000004,0.2515499999999999,0.4622407,2.103678,2.098292,2.149203,2.160559,2.173477,4.482253,3.875682,3.361826,10.80849,8.650503,6.975857,merger
9,1.9215599999999995,0.892100000000001,0.41479,0.3401800000000001,0.6417344,2.315538,2.375263,2.377019,2.412296,2.381966,3.291281,2.87909,2.699327,9.854131,9.848104,9.654462,elliptical
10,1.8870000000000005,0.9138899999999984,0.4296600000000001,0.3358500000000006,0.8934712,2.481992,2.398008,2.375516,2.399675,2.371947,3.969231,2.963279,2.775381,9.591641,9.138606,8.750672,elliptical
11,1.3492699999999989,0.6749099999999988,0.3594100000000004,0.2511500000000009,0.8999009,1.980732,2.17077,2.393546,2.503357,2.607085,8.084057,6.844037,6.799947,16.85973,13.19608,14.33373,spiral
12,1.472100000000001,0.6825200000000002,0.3648100000000003,0.2816999999999989,0.8605025,1.938927,2.187377,2.423657,2.464966,2.473414,3.823733,3.442721,3.218964,6.355387,6.86369,6.406072,spiral
13,1.9253600000000013,0.8112199999999987,0.3803199999999993,0.2720500000000001,0.6396433,2.348456,2.584063,2.526314,2.46597,2.449172,2.453202,2.433371,2.30437,5.290019,5.500206,5.262755,merger
14,1.5063899999999997,0.7772500000000004,0.3616099999999989,0.27867,0.6882419,2.124739,2.248959,2.457703,2.513146,2.605175,7.239414,5.552403,5.546902,16.85885,11.32253,12.51345,spiral
15,1.060220000000001,0.4180500000000009,0.2848299999999995,0.0747400000000002,0.8831819,2.294729,2.555076,2.557436,2.52315,2.402904,3.545571,4.151544,3.219346,6.839201,9.15344,7.787942,spiral
16,1.8561300000000005,0.930559999999998,0.4098500000000005,0.3513599999999997,0.8384337,2.275802,2.357338,2.367767,2.388326,2.386678,4.380874,3.693765,3.56004,14.22445,12.58132,12.10643,elliptical
17,1.7589199999999998,0.8084499999999988,0.4101100000000013,0.2823699999999984,0.7695855,2.390742,2.38151,2.390103,2.382688,2.375574,5.192441,3.92009,3.768394,15.0961,13.46257,13.05396,elliptical
18,2.0061300000000006,0.8975100000000005,0.3957899999999998,0.2982499999999994,0.8448623,2.385982,2.412815,2.423399,2.425052,2.398874,5.72248,3.911338,3.704077,14.29299,13.06833,12.73366,elliptical
19,1.78951,0.80762,0.3252700000000015,0.2974999999999994,0.7338234,2.407606,2.36221,2.331099,2.349835,2.34104,5.540525,5.115775,4.069967,16.79769,13.60812,10.85539,merger
20,1.85721,0.8305199999999999,0.4250099999999985,0.2760300000000004,0.8000523,2.46028,2.480377,2.468026,2.463975,2.454551,13.04577,11.44199,10.36823,39.98211,36.02186,34.1893,elliptical
21,1.8745000000000007,1.00868,0.4258499999999987,0.3411800000000013,0.8157371,2.358852,2.430175,2.411882,2.427287,2.41181,8.322834,5.22114,4.415567,21.87016,17.67168,15.0305,elliptical
